file,intended_impact,planted_quantified,has_traps
resume_01_IMPACT-high.pdf,high,6,True
resume_02_IMPACT-minimal.pdf,minimal,0,True
resume_03_IMPACT-mid.pdf,mid,4,False
resume_04_IMPACT-mid.pdf,mid,4,True
resume_05_IMPACT-mid.pdf,mid,3,True
resume_06_IMPACT-mid.pdf,mid,3,True
resume_07_IMPACT-minimal.pdf,minimal,0,True
resume_08_IMPACT-low.pdf,low,2,False
resume_09_IMPACT-high.pdf,high,6,True
resume_10_IMPACT-mid.pdf,mid,4,False
resume_11_IMPACT-minimal.pdf,minimal,0,True
resume_12_IMPACT-high.pdf,high,5,True
resume_13_IMPACT-low.pdf,low,1,False
resume_14_IMPACT-mid.pdf,mid,4,True
resume_15_IMPACT-minimal.pdf,minimal,0,False
resume_16_IMPACT-mid.pdf,mid,3,True
resume_17_IMPACT-low.pdf,low,2,True
resume_18_IMPACT-minimal.pdf,minimal,0,False
resume_19_IMPACT-low.pdf,low,1,True
resume_20_IMPACT-low.pdf,low,2,True
resume_21_IMPACT-mid.pdf,mid,4,True
resume_22_IMPACT-minimal.pdf,minimal,0,False
resume_23_IMPACT-high.pdf,high,6,True
resume_24_IMPACT-low.pdf,low,2,False
resume_25_IMPACT-minimal.pdf,minimal,0,True
resume_26_IMPACT-mid.pdf,mid,4,True
resume_27_IMPACT-high.pdf,high,8,True
resume_28_IMPACT-high.pdf,high,7,True
resume_29_IMPACT-minimal.pdf,minimal,0,True
resume_30_IMPACT-mid.pdf,mid,3,True
resume_31_IMPACT-low.pdf,low,2,True
resume_32_IMPACT-minimal.pdf,minimal,0,False
resume_33_IMPACT-low.pdf,low,2,True
resume_34_IMPACT-high.pdf,high,7,True
resume_35_IMPACT-minimal.pdf,minimal,0,True
resume_36_IMPACT-high.pdf,high,6,False
resume_37_IMPACT-high.pdf,high,7,False
resume_38_IMPACT-low.pdf,low,1,False
resume_39_IMPACT-high.pdf,high,7,True
resume_40_IMPACT-low.pdf,low,1,True
